Station Name,District,Longitude,Unnamed: 4,Unnamed: 5,Latitude ,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,Unnamed: 68,Unnamed: 69
AJMER,AJMER ,260 27' N,26.0,27.0,740 37' E,74.0,37.0,26.3,74.41111111111111,595.5,491.6,653.4,283.4,701.9,441.3,417.4,503.4,377.4,460.8,260.5,412.3,328.0,400.2,599.7,1026.1,769.4,740.2,551.0,562.1,656.8,468.7,840.7,421.1,438.9,205.3,314.1,445.4,,947.2,483.5,515.8,415.9,817.2,573.2,,,,,,,,,,,,,340.6,546.2,393.9,589.9,,352.8,352.8,727.5,557.6,,
ARAIN,AJMER ,260 27' N,26.0,27.0,750 03' E,75.0,3.0,26.3,75.03333333333333,546.5,735.5,826.0,269.0,605.0,389.0,297.0,557.0,313.0,336.0,165.0,537.0,157.0,235.0,381.8,452.0,546.0,473.0,616.0,295.0,367.0,66.0,282.0,0.0,560.0,233.5,370.0,251.0,411.0,617.0,308.6,323.0,418.0,418.0,396.0,720.0,732.0,895.0,660.0,929.0,106.0,0.0,609.5,308.0,290.0,450.0,0.0,253.0,463.0,307.9,277.6,0.0,250.9,250.9,55.2,531.7,,
BEAWAR,AJMER ,260 06' N,26.0,6.0,740 19'E,74.0,19.0,26.066666666666666,74.21111111111111,968.0,656.0,780.0,365.0,522.0,369.0,649.0,655.0,444.0,637.0,159.1,631.0,361.0,360.0,663.0,908.0,812.0,547.0,859.0,258.5,513.7,407.7,866.0,404.0,395.0,212.0,223.0,300.7,403.0,888.0,451.0,434.0,575.0,548.0,558.0,434.0,983.0,768.9,476.0,512.0,250.0,476.8,546.0,406.0,676.9,743.0,0.0,453.8,788.9,397.3,416.0,0.0,385.8,385.8,258.2,317.9,,
BHINAI,AJMER ,260 04' N,26.0,4.0,740 46' E,74.0,46.0,26.044444444444444,74.5111111111111,676.0,863.5,928.0,199.5,327.0,467.6,451.5,539.0,364.0,618.0,183.0,474.0,482.0,0.0,594.0,652.8,710.0,548.0,801.0,499.0,481.0,555.5,369.0,462.5,224.0,0.0,0.0,304.0,315.0,615.0,429.0,206.0,378.0,384.0,627.0,508.0,594.0,636.0,455.0,564.0,147.1,424.3,627.0,446.0,242.4,311.0,0.0,230.5,406.0,113.0,442.1,0.0,147.3,147.3,102.1,165.1,,
GEGAL,AJMER ,260 32' N,26.0,32.0,740 45' E,74.0,45.0,26.355555555555554,74.5,292.7,462.5,446.5,129.0,137.0,134.5,78.5,143.0,178.0,414.0,147.0,447.0,391.2,0.0,240.0,605.0,689.5,339.0,395.0,302.0,541.0,553.0,216.0,368.0,352.0,74.0,226.0,247.0,344.0,630.0,381.0,611.1,285.0,532.8,468.0,381.0,356.0,808.1,427.2,137.5,156.0,550.6,0.0,0.0,323.0,349.5,0.0,184.6,310.0,155.2,292.7,0.0,154.9,154.9,15.3,354.2,,
GOELA,AJMER ,260 07' N,26.0,7.0,740 57' E,74.0,57.0,26.07777777777778,74.63333333333334,597.0,728.0,464.0,264.0,399.0,318.0,461.0,278.0,,178.0,112.0,279.0,201.0,0.0,216.0,86.0,448.0,232.0,563.0,339.0,335.0,0.0,127.0,0.0,0.0,0.0,61.0,,187.0,354.0,,0.0,0.0,243.0,406.5,15.0,0.0,69.0,146.5,710.0,250.0,423.0,653.0,498.0,249.0,528.5,0.0,280.7,399.0,330.5,173.0,0.0,0.0,0.0,58.9,419.5,,
JAWAJA,AJMER ,250 57' N,26.0,57.0,740 13' E,74.0,13.0,26.633333333333333,74.14444444444445,695.0,304.0,232.0,211.0,187.0,327.0,427.2,462.0,445.0,453.0,198.0,715.0,482.0,0.0,574.0,763.0,546.0,568.0,529.0,131.0,432.0,379.0,611.0,401.5,23.0,0.0,77.0,291.0,360.0,784.0,500.0,377.0,272.0,582.0,696.0,483.0,968.0,784.8,359.0,959.4,309.0,330.2,680.1,163.2,304.0,515.1,0.0,197.2,519.5,245.2,151.0,0.0,174.1,174.1,387.7,372.0,,
KEKRI,AJMER ,250 58' N,25.0,58.0,750 09' E,75.0,9.0,25.644444444444446,75.1,554.0,1108.0,711.5,448.0,382.2,472.0,400.5,414.7,691.0,481.0,235.0,605.0,533.0,417.0,499.0,605.7,927.0,424.0,590.0,458.5,761.0,662.0,682.5,352.0,507.0,474.0,399.6,376.0,,509.0,634.6,402.0,450.0,495.0,448.0,780.0,712.0,724.0,415.1,674.8,335.0,622.5,506.0,470.0,357.2,539.0,0.0,213.0,457.3,448.5,637.5,0.0,287.4,287.4,365.9,571.3,,
KISHANGARH,AJMER ,260 34' N,26.0,34.0,740 51' E,74.0,51.0,26.377777777777776,74.56666666666666,431.8,730.7,580.4,215.2,627.0,536.6,397.6,700.3,377.4,440.2,177.0,571.4,313.7,389.0,476.5,1193.0,643.0,649.0,501.0,476.0,681.0,293.9,451.0,301.5,413.0,283.0,349.0,220.0,371.0,704.2,651.5,510.0,180.6,812.2,383.4,724.1,886.0,1066.0,548.0,619.6,271.0,763.0,587.0,230.0,373.0,412.0,0.0,210.4,530.0,509.0,358.4,0.0,398.2,398.2,563.1,443.6,,
MANGALIAWAS,AJMER ,260 17' N,26.0,17.0,740 37' E,74.0,37.0,26.18888888888889,74.41111111111111,545.5,380.0,604.0,243.0,343.0,469.0,400.0,518.5,322.0,401.5,113.0,427.0,388.7,0.0,424.0,516.0,709.0,0.0,588.0,120.0,142.0,39.5,242.6,153.0,101.0,0.0,149380.0,192.1,324.0,471.5,176.5,242.0,382.3,144.0,172.0,135.0,966.0,733.0,193.0,548.7,106.4,361.0,270.0,223.0,163.0,191.4,0.0,419.0,230.4,203.2,244.8,0.0,340.5,340.5,153.0,180.9,,
NASIRABAD,AJMER ,260 17' N,26.0,17.0,740 44' E,74.0,44.0,26.18888888888889,74.4888888888889,815.0,912.0,820.0,303.0,798.0,446.0,597.0,479.0,580.0,497.0,323.0,621.0,509.0,0.0,787.0,982.0,1082.0,,727.0,550.0,628.0,507.0,752.0,395.0,341.0,147.0,208.0,275.0,310.0,786.8,365.0,2347.0,241.6,535.7,419.5,677.0,562.0,688.9,515.7,408.8,243.9,335.2,351.0,93.0,101.0,388.0,0.0,0.0,302.2,73.9,173.5,0.0,216.5,216.5,578.2,481.5,,
PISANGAN,AJMER ,260 24' N,26.0,24.0,740 23' E,74.0,23.0,26.266666666666666,74.25555555555556,607.0,582.0,819.0,127.0,361.0,393.0,300.5,507.0,306.0,393.0,142.0,669.0,403.0,0.0,466.0,683.0,680.0,,421.0,292.0,256.0,228.0,424.0,422.0,299.6,158.0,170.2,325.0,421.0,925.0,441.3,520.0,478.0,844.8,490.0,631.0,630.0,217.0,78.2,0.0,,344.7,379.8,167.5,233.0,372.1,0.0,351.0,478.0,181.0,211.8,0.0,291.3,291.3,235.3,291.5,,
PUSHKAR,AJMER ,260 30' N,26.0,30.0,740 33' E,74.0,33.0,26.333333333333332,74.36666666666666,665.0,468.0,1167.0,280.0,704.0,452.5,525.0,664.0,441.0,1049.0,239.0,647.0,553.0,0.0,390.0,901.0,908.0,,558.0,164.0,225.0,29.0,288.0,248.2,648.0,38.0,379.8,421.0,498.0,893.0,244.8,517.0,387.0,699.0,419.0,608.0,624.0,551.7,244.4,387.3,175.7,448.5,316.6,97.5,59.0,392.4,0.0,224.8,493.3,209.8,286.6,0.0,446.5,446.5,217.8,509.0,,
SAWAR,AJMER ,260 04' N,26.0,4.0,750 01' E,75.0,1.0,26.044444444444444,75.0111111111111,532.5,931.0,541.0,317.0,507.0,439.0,529.0,427.0,957.5,400.0,172.0,599.0,515.0,0.0,421.0,617.8,777.0,,463.0,590.0,439.0,466.0,555.5,544.0,253.0,197.0,492.0,439.0,,546.0,540.0,295.6,498.5,415.0,521.0,669.0,814.3,755.0,589.9,834.2,185.5,531.0,517.0,426.0,410.0,647.4,0.0,376.8,271.0,283.9,210.6,0.0,170.1,170.1,140.2,381.2,,
