station,catchment-no,district,latitude,longitude
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
bhadragoan *-jalore,108.0,jalore,"240 57"" N","720 33"" E"
bithan *-jalore,108.0,jalore,"240 57"" N","720 33"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
bhadragoan *-jalore,108.0,jalore,,
bithana *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
bhadragoan *-jalore,108.0,jalore,,
bithana *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
