station-name,district,climatic-region,koeppen-climatic-region,thornthwaite-climatic-region,station-col-name
ajmer,ajmer,sub humid,aw,daw,ajmer-ajmer
arain,ajmer,sub humid,bshw,daw,arain-ajmer
beawar,ajmer,sub humid,bshw,daw,beawar-ajmer
bhinai,ajmer,sub humid,bshw,daw,bhinai-ajmer
gegal,ajmer,sub humid,bshw,daw,gegal-ajmer
goela,ajmer,sub humid,bshw,daw,goela-ajmer
jawaja,ajmer,sub humid,bshw,daw,jawaja-ajmer
kekri,ajmer,humid,bshw,daw,kekri-ajmer
kishangarh,ajmer,sub humid,aw,daw,kishangarh-ajmer
mangaliawas,ajmer,sub humid,aw,daw,mangaliawas-ajmer
nasirabad,ajmer,sub humid,bshw,daw,nasirabad-ajmer
pisangan,ajmer,sub humid,bshw,daw,pisangan-ajmer
pushkar,ajmer,sub humid,aw,daw,pushkar-ajmer
sawar,ajmer,humid,bshw,daw,sawar-ajmer
sarwar,ajmer,sub humid,bshw,daw,sarwar-ajmer
srinagar,ajmer,sub humid,bshw,daw,srinagar-ajmer
tatgarh,ajmer,sub humid,bshw,daw,tatgarh-ajmer
vijaynagar,ajmer,sub humid,bshw,daw,vijaynagar-ajmer
masuda,ajmer,sub humid,bshw,daw,masuda-ajmer
alwar,alwar,sub humid,bshw,daw,alwar-alwar
bansur,alwar,sub humid,bshw,daw,bansur-alwar
behrod,alwar,sub humid,bshw,daw,behrod-alwar
govindgarh,alwar,sub humid,bshw,daw,govindgarh-alwar
kathumbar,alwar,sub humid,bshw,daw,kathumbar-alwar
kishangarh bas,alwar,sub humid,bshw,daw,kishangarh bas-alwar
kotkasim,alwar,sub humid,bshw,daw,kotkasim-alwar
laxmangarh,alwar,humid,bshw,daw,laxmangarh-alwar
malakhera,alwar,sub humid,bshw,daw,malakhera-alwar
mundawar,alwar,sub humid,bshw,daw,mundawar-alwar
neemrana,alwar,sub humid,bshw,daw,neemrana-alwar
rajgarh,alwar,humid,bshw,daw,rajgarh-alwar
ramgarh,alwar,sub humid,bshw,daw,ramgarh-alwar
tapukara,alwar,sub humid,bshw,daw,tapukara-alwar
thanagaji,alwar,sub humid,bshw,daw,thanagaji-alwar
tijara,alwar,sub humid,bshw,daw,tijara-alwar
arthuna,banswara,humid,cwq,caw,arthuna-banswara
banswara,banswara,very humid,cwq,caw,banswara-banswara
bhungra,banswara,very humid,cwq,caw,bhungra-banswara
danpur,banswara,very humid,cwq,caw,danpur-banswara
garhi,banswara,very humid,cwq,caw,garhi-banswara
ghatol,banswara,humid,cwq,caw,ghatol-banswara
jagpura,banswara,humid,cwq,caw,jagpura-banswara
kushalgarh,banswara,very humid,cwq,caw,kushalgarh-banswara
loharia,banswara,very humid,cwq,caw,loharia-banswara
sajjangarh,banswara,very humid,cwq,caw,sajjangarh-banswara
sallopat,banswara,very humid,cwq,caw,sallopat-banswara
shergarh,banswara,very humid,cwq,caw,shergarh-banswara
antah,baran,very humid,bshw,daw,antah-baran
atru,baran,very humid,cwq,caw,atru-baran
chhabra,baran,very humid,cwq,caw,chhabra-baran
chhipabarod,baran,very humid,cwq,caw,chhipabarod-baran
baran,baran,very humid,bshw,caw,baran-baran
kishanganj,baran,very humid,cwq,caw,kishanganj-baran
mangrol,baran,very humid,bshw,daw,mangrol-baran
shahbad,baran,very humid,cwq,caw,shahbad-baran
barmer,barmer,semi arid,aw,daw,barmer-barmer
chohtan,barmer,semi arid,aw,daw,chohtan-barmer
pachpadra,barmer,semi arid,aw,daw,pachpadra-barmer
sheo,barmer,semi arid,aw,ead,sheo-barmer
siwana,barmer,semi arid,aw,daw,siwana-barmer
bayana,bharatpur,humid,bshw,daw,bayana-bharatpur
bharatpur,bharatpur,humid,bshw,daw,bharatpur-bharatpur
deeg,bharatpur,humid,bshw,daw,deeg-bharatpur
kaman,bharatpur,humid,bshw,daw,kaman-bharatpur
kumbher,bharatpur,humid,bshw,daw,kumbher-bharatpur
nadbai,bharatpur,humid,bshw,daw,nadbai-bharatpur
nagar,bharatpur,humid,bshw,daw,nagar-bharatpur
pahari,bharatpur,sub humid,bshw,daw,pahari-bharatpur
rupwas,bharatpur,humid,bshw,daw,rupwas-bharatpur
weir,bharatpur,humid,bshw,daw,weir-bharatpur
ajan bundh *,bharatpur,humid,bshw,daw,ajan bundh *-bharatpur
sewar bundh *,bharatpur,humid,bshw,daw,sewar bundh *-bharatpur
asind,bhilwara,humid,bshw,daw,asind-bhilwara
banera,bhilwara,humid,bshw,daw,banera-bhilwara
bhilwara,bhilwara,humid,bshw,daw,bhilwara-bhilwara
hurda,bhilwara,humid,bshw,daw,hurda-bhilwara
jahajpur,bhilwara,humid,bshw,daw,jahajpur-bhilwara
kotri,bhilwara,humid,bshw,daw,kotri-bhilwara
mandal,bhilwara,humid,bshw,daw,mandal-bhilwara
mandalgarh,bhilwara,humid,bshw,daw,mandalgarh-bhilwara
raipur,bhilwara,humid,bshw,daw,raipur-bhilwara
shahpura,bhilwara,humid,bshw,daw,shahpura-bhilwara
bijolia,bhilwara,humid,bshw,daw,bijolia-bhilwara
sahada,bhilwara,humid,bshw,daw,sahada-bhilwara
bikaner,bikaner,semi arid,bwhw,dbw,bikaner-bikaner
